"ID","Title","Authors","Year","Venue","IEEE_Non_IEEE","DOI","Research_Problem","Technology","QKD","PQC","Hybrid_QKD_PQC","6G","Healthcare","EHR","IoMT","Edge_Computing","Methodology","Simulation_Experimental_Setup","Dataset_Network_Model","Metrics","Main_Findings","Limitations","Relevance_To_Our_Paper","Potential_Overlap_With_Proposed_Work","Tier","Evidence_Label","Verified"
"P01","A Post-Quantum Secure Architecture for 6G-Enabled Smart Hospitals: A Multi-Layered Cryptographic Framework","Devaraj P.; Chaman Basha S.A.; Panarkuzhiyil Santhosh N.N.; Panda N.","2026","Future Internet (MDPI)","Non-IEEE","10.3390/fi18030165","Secure real-time medical command transmission over 6G hospital networks under quantum threat","Kyber512 KEM + Dilithium signatures + PUF auth + Zero Trust + blockchain audit + Shamir threshold crypto (PQC only; QKD NOT used - RSA used only for legacy fallback, not QKD)","No","Yes","No","Yes","Yes","No (command transmission, not EHR data sharing specifically)","No","Yes (edge controllers in architecture)","Discrete-event simulation of adversarial 6G medical command scenarios","Simulated 6G network + adversarial scenario injection (replay/payload manipulation/key corruption)","Simulated hospital command-transmission network (not a real EHR dataset)","Detection latency -48%; false-positive rate -68%; round-trip latency -39% vs RSA-AES baseline; CPU 9%; memory 45MB","Unified PQC(Kyber+Dilithium)+PUF+ZTA+blockchain-audit architecture outperforms RSA-AES baseline on latency and detection metrics in simulation","No QKD component at all (explicitly PQC-only with classical RSA fallback); evaluates command transmission, not EHR record sharing; simulation-only, no real hospital deployment","VERY HIGH - closest neighbor found to proposed work: 6G+healthcare+PQC+edge, but PQC-only (no QKD), focused on command transmission not EHR sharing","HIGH OVERLAP RISK on the 6G+PQC+healthcare axis - must differentiate via QKD/hybrid component and EHR-sharing focus, not re-propose a PQC-only hospital architecture","1","PROPOSED (simulation-demonstrated, not deployed)","Y-full-text-fetched"
"P02","Post-quantum cryptography for healthcare: securing medical data, connected devices, and digital health infrastructure","UNVERIFIED (author list not yet extracted from full text)","2026","Frontiers in Health Services","Non-IEEE","10.3389/frhs.2026.1901282","Comprehensive review of PQC readiness for healthcare data/devices under harvest-now-decrypt-later threat","PQC (ML-KEM/ML-DSA) survey; QKD mentioned only as a comparison / infrastructure-heavy alternative, not primary focus","Mentioned only (comparison)","Yes (primary focus)","No (QKD treated as a separate physical-infrastructure option, not combined)","No (general healthcare networks, not 6G-specific)","Yes","Yes (EHR mentioned explicitly)","Yes","No","Structured literature review (PubMed, IEEE Xplore, ACM DL, Scopus, Google Scholar) + standards synthesis (NIST FIPS 203-206, SP800-208, CISA, NSA, ETSI, FDA, HIPAA, GDPR)","N/A (review, not original experiment)","N/A","N/A (qualitative synthesis)","Frames harvest-now-decrypt-later as the key healthcare risk; recommends PQC as scalable enterprise-wide healthcare cryptography, with QKD reserved for specific high-value backbone links","Review/synthesis only - no original hybrid QKD-PQC architecture or experiment; does not evaluate 6G","HIGH - authoritative, recent review giving harvest-now-decrypt-later framing and healthcare-specific PQC applicability, directly usable for Introduction/Motivation","LOW direct overlap (no proposed architecture; grounding citation, not a competing system)","1","ESTABLISHED (regulatory/standards synthesis); PROPOSED (technical recommendations)","Y-abstract-and-search-metadata-verified"
"P03","Enhancing Cloud-Based Healthcare Security With Quantum-Secure HealthChain: A Quantum Computing and Blockchain Integrated Framework","UNVERIFIED (PMC ID PMC13109074; author names not yet extracted)","2025/2026 (UNVERIFIED exact date)","UNVERIFIED (PMC-hosted; exact journal name not yet confirmed)","UNVERIFIED","UNVERIFIED (needs follow-up fetch)","Securing cloud-based healthcare data (EHR + IoMT) using QKD-generated keys + blockchain","QKD module for symmetric key generation/distribution + blockchain (HealthChain) for IoMT/EHR data lifecycle","Yes","No (not described as combined with PQC in retrieved snippet)","No","No","Yes","Yes","Yes","No","UNVERIFIED (needs full-text fetch)","UNVERIFIED","UNVERIFIED","UNVERIFIED","QKD module generates quantum-secure keys distributed to authorized users; symmetric encryption of medical data keyed from QKD output; blockchain manages IoMT/EHR data lifecycle","Not yet verified - venue, authors, and methodology all need full-text confirmation before use","HIGH POTENTIAL - QKD+EHR+IoMT combination directly in our topic space, but NOT YET independently verified beyond a search snippet","POTENTIAL OVERLAP on the QKD+EHR+IoMT axis - requires verification before drawing conclusions","1","UNCERTAIN (insufficient verification)","PARTIAL-snippet-only-NEEDS-FULL-FETCH"
"P04","Post-Quantum Cryptography Resilience in Telehealth Using Quantum Key Distribution","UNVERIFIED (author names not yet extracted)","2025","Blockchain in Healthcare Today","Non-IEEE","UNVERIFIED (no DOI captured yet)","Quantum-resistant cybersecurity architecture for telehealth combining PQC (blockchain consensus layer) with QKD (key distribution) and privacy-preserving mechanisms","CRYSTALS-Dilithium at blockchain consensus layer + QKD-enhanced key management + DAG ledger + ZKPs + MPC + attribute-based encryption","Yes","Yes","Yes (QKD for key distribution + PQC/Dilithium for consensus-layer signatures - explicit hybrid)","No","Yes","Yes (patient records explicitly)","Yes (hospitals/clinics/patient devices)","No","Prototype development","Simulated telehealth network (hospitals+clinics+patient devices)","N/A (throughput/scalability discussed qualitatively in snippet; exact figures not yet extracted)","N/A (not yet extracted)","DAG-based ledger handled parallel transactions with improved scalability vs linear blockchains despite higher computational overhead; PQC+QKD+ZKP+MPC framework addressed confidentiality/immutability goals in prototype","Author names, exact DOI, and quantitative metrics not yet independently verified from full text; 'novel' claim in source not yet cross-checked against prior hybrid work","VERY HIGH - explicit QKD+PQC hybrid applied specifically to telehealth/patient records; closest found direct precedent for a hybrid-QKD-PQC-plus-healthcare combination","HIGH OVERLAP RISK - if this paper's hybrid QKD-PQC telehealth framework is confirmed on full read, it materially affects the novelty claim of our proposed architecture and MUST be examined in full before Task 5","1","PROPOSED (prototype-stage; not yet independently verified as experimentally validated)","PARTIAL-snippet-only-NEEDS-FULL-FETCH"
"P05","Post-Quantum Authentication in the Internet of Medical Things: A System-Level Review and Future Directions","UNVERIFIED (author names not yet extracted)","2026","Computers (MDPI)","Non-IEEE","10.3390/computers15030189","Systematic review of authentication mechanisms in IoMT from post-quantum and system-level perspectives","PQC-based authentication schemes for IoMT (survey/classification)","No","Yes","No","No","Yes (healthcare context - IoMT)","No","Yes","No","PRISMA-informed systematic review across IEEE Xplore/ACM DL/SpringerLink/ScienceDirect/MDPI; 95 records screened to 63 included","N/A (review)","N/A","N/A (qualitative synthesis / classification framework)","Introduces a multi-dimensional classification framework for IoMT authentication by cryptographic paradigm and resource constraints","Review only; no original hybrid or 6G-specific evaluation","MEDIUM-HIGH - directly useful for the IoMT/authentication state-of-the-art section and as a source of further verified sub-citations (63 screened studies) for future expansion","LOW direct overlap (review, not a competing architecture)","1","ESTABLISHED (systematic review methodology)","Y-abstract-and-search-metadata-verified"
"P06","Post-quantum-inspired scalable blockchain architecture for internet hospital systems with lightweight privacy-preserving access control","UNVERIFIED (cites related work 'Benaich et al.' and 'Xu et al.' internally)","2025","UNVERIFIED (PMC ID PMC12668537; exact journal not yet confirmed)","UNVERIFIED","UNVERIFIED","Secure, scalable, low-latency data management for Internet Hospital systems (IoMT-driven)","Post-quantum-inspired alliance blockchain (simulation-based); cites related work using post-quantum certificateless signcryption for IoMT (Xu et al.) and ZK-rollups+PQC for EHR (Benaich et al.)","No","Yes (post-quantum-inspired; exact algorithms UNVERIFIED)","No","No","Yes","Yes (via cited related work on EHR)","Yes","No (cloud storage focus per related-work description)","Simulation-based architecture study","Simulated Internet Hospital / IoMT streaming workload","N/A (not yet extracted)","N/A (not yet extracted)","Performance gains in decentralization and storage efficiency reported; explicitly self-reports lacking post-quantum encryption, privacy-preserving access control, and sensor-level fault tolerance","SELF-ACKNOWLEDGED in source: lacks actual post-quantum encryption, privacy-preserving access control, and sensor-level fault tolerance despite the 'post-quantum-inspired' framing; author list and exact venue not yet verified","MEDIUM - useful as a related-work pointer (its own citations to Benaich et al. and Xu et al. are candidate papers for future verification), but the paper itself is not a strong PQC/QKD contribution","LOW direct overlap (acknowledged gap in PQC implementation)","4","UNCERTAIN (self-reported incomplete PQC implementation)","PARTIAL-snippet-only-NEEDS-FULL-FETCH"
"P07","Quantum secure patient login credential system using blockchain for electronic health record sharing framework","UNVERIFIED (author names not yet extracted)","2025","Scientific Reports (Nature)","Non-IEEE","UNVERIFIED (inferred s41598-025-86658-9 pattern from URL - needs direct confirmation)","Secure patient login credentials for an Electronic Health Records Sharing (EHRS) framework resistant to quantum threats","Quantum-Secure Patient Login Credential System (PLCS) + blockchain (BCT) + symmetric/asymmetric block encryption + side-channel-attack prevention","No (title says 'quantum secure' but described mechanism reads as quantum-resistant/PQC-style, not QKD - NEEDS VERIFICATION)","Likely (UNVERIFIED - 'quantum-resistant cryptographic techniques' mentioned generically)","No","No","Yes","Yes (EHRS explicitly named in title)","No","No","UNVERIFIED (not yet extracted)","UNVERIFIED","UNVERIFIED","UNVERIFIED","Proposes a patient login credential system for an EHR sharing framework using quantum-resistant techniques and blockchain-based dynamic key generation","Mechanism details (QKD vs PQC vs generic 'quantum-resistant' terminology) not yet disambiguated from full text","MEDIUM-HIGH - directly on-topic (EHR sharing framework + quantum-safe authentication) but terminology needs disambiguation before citing precisely","MODERATE - EHR-sharing focus overlaps with our application domain; needs a full-text check on whether this is PQC-only or genuinely claims QKD","4","UNCERTAIN (terminology not yet disambiguated)","PARTIAL-snippet-only-NEEDS-FULL-FETCH"
"P08","Securing the Future of IoMT in the Post-Quantum Era: An Edge-Native Federated Learning Approach","UNVERIFIED (author names not yet extracted)","2026","arXiv preprint (arXiv:2606.14515)","Non-IEEE (preprint - NOT peer-reviewed; must be labeled as such)","UNVERIFIED (arXiv ID only, no DOI - preprint)","Quantum-resilient security for IoMT combined with edge-native federated learning","ML-KEM (Kyber) key establishment + lightweight symmetric encryption + edge-native federated learning","No","Yes","No","No","Yes","No","Yes","Yes (edge-native explicitly)","UNVERIFIED (not yet extracted beyond abstract-level snippet)","UNVERIFIED","UNVERIFIED","UNVERIFIED","ML-KEM combined with lightweight symmetric encryption proposed as effective for quantum-resilient IoMT security with manageable overhead; edge-native federated learning for privacy","PREPRINT STATUS - not yet peer-reviewed; must be explicitly labeled as such and not treated as established","MEDIUM - relevant for the PQC+IoMT+edge section, but preprint status limits evidentiary weight","LOW-MODERATE (PQC+IoMT+edge is adjacent territory, not the core Hybrid-QKD-PQC+6G+EHR axis)","4","PROPOSED (preprint - unreviewed)","PARTIAL-snippet-only-preprint-flagged"
"P09","HybridTrust: on-device federated learning with crypto-agile security for legacy and quantum-safe medical devices","UNVERIFIED (author names not yet extracted)","2026","Scientific Reports (Nature)","Non-IEEE","UNVERIFIED (inferred s41598-026-52891-z pattern - needs direct confirmation)","Crypto-agile transition path for legacy and quantum-safe medical device networks using federated learning","ML-KEM-512 for constrained/embedded devices + crypto-agility framework + federated TinyML + backward compatibility + regulatory mapping","No","Yes","No","No","Yes","No","Yes (legacy and quantum-safe medical devices explicitly)","No","UNVERIFIED (not yet extracted)","UNVERIFIED","Non-IID clinical validation mentioned","UNVERIFIED","Supports a realistic transition path from legacy medical-device networks toward quantum-safe infrastructure via crypto-agility and federated TinyML","Full methodology/results not yet extracted from full text","MEDIUM - directly relevant to the PQC+IoMT/medical-device state of the art and to crypto-agility framing useful for our transition/deployment discussion","LOW (medical-device crypto-agility framework, not a competing hybrid QKD-PQC EHR architecture)","4","PROPOSED","PARTIAL-snippet-only-NEEDS-FULL-FETCH"
"P10","Toward Quantum-Safe 6G: Experimental Evaluation of Post-Quantum Cryptography Techniques","Kudaloor, Ananya; Aijaz, Adnan","2026","arXiv preprint (arXiv:2605.06881)","Non-IEEE (preprint - Aijaz identified as IEEE Senior Member, but the venue itself is an arXiv preprint, not peer-reviewed)","UNVERIFIED (preprint, no DOI)","Practical deployability of NIST-standardized PQC (ML-KEM/ML-DSA/Falcon) in bandwidth/latency-limited 6G systems","ML-KEM (Kyber), ML-DSA (Dilithium), Falcon benchmarked via OpenSSL + OQS provider on Open5GS/Free5GC open-source 5G/6G cores","No (explicitly notes combining PQC with QKD as future direction, not implemented here)","Yes","No (future work only - explicitly states combining ML-KEM with QKD 'can support' future 6G security, not implemented)","Yes","No","No","No","Yes (edge/IoT platforms explicitly evaluated)","Experimental benchmarking","OpenSSL + OQS provider on heterogeneous platforms; Open5GS/Free5GC open-source 5G/6G core integration; TLS 1.3 handshake measurements","Open-source 5G/6G core network model (not healthcare-specific)","Computational cost, ciphertext/signature size expansion, TLS handshake reliability, bandwidth efficiency at network edge","PQC integrable into network infrastructure with manageable computational overhead; ciphertext expansion and edge-level bandwidth impact are key deployment challenges; explicitly flags QKD+PQC combination as future work, not yet done","Preprint (not peer-reviewed); not healthcare-specific; explicitly does NOT implement hybrid QKD-PQC, only recommends it as future direction","HIGH - directly confirms via a primary experimental source that PQC-only 6G evaluation exists but QKD+PQC hybrid for 6G remains largely unimplemented/future-work in this line of research - useful as a gap signal","LOW direct overlap (no healthcare, no hybrid implementation - supports our novelty rather than threatens it)","2","ESTABLISHED (PQC feasibility); PROPOSED (future QKD+PQC combination - explicitly unimplemented)","Y-fetched-partial-full-text"
