section,subsection,citation_key,tier,claim_text
Introduction,,nist2024fips203,STD,"This long retention horizon is precisely what makes EHR traffic a target for the ``harvest-now, decrypt-later'' (HNDL) threat: an adversary who cannot break today's encryption can still record the ciphertext now and decrypt it later, once a cryptographically relevant quantum computer (CRQC) capab..."
Introduction,,nist2024fips203,STD,"Post-Quantum Cryptography (PQC) replaces number-theoretic hardness assumptions (factoring, discrete log) with problems believed hard even for a quantum computer, most prominently lattice problems underlying the NIST-standardized ML-KEM key-encapsulation mechanism and ML-DSA signature scheme~."
Introduction,,nist2024fips204,STD,"Post-Quantum Cryptography (PQC) replaces number-theoretic hardness assumptions (factoring, discrete log) with problems believed hard even for a quantum computer, most prominently lattice problems underlying the NIST-standardized ML-KEM key-encapsulation mechanism and ML-DSA signature scheme~."
Introduction,,clason2026deployed,S,"QKD is real and field-deployed --- a 300\,km trusted-node network has been reported in operation~ --- but it is also a bounded, rate-limited physical resource: fiber loss limits distance, key-generation rate is finite, and the channel itself can be degraded or interrupted by conditions outside an..."
Introduction,Motivating Scenario,zhu2025technoeconomic,S,"A closely related mechanism has been evaluated for power-grid communications~, and hybrid QKD-PQC deployments for healthcare data exist in the literature~, but the specific combination --- adaptive fallback, tested against EHR transaction semantics that distinguish routine from emergency access, ..."
Introduction,Motivating Scenario,devaraj2026postquantum,V,"A closely related mechanism has been evaluated for power-grid communications~, and hybrid QKD-PQC deployments for healthcare data exist in the literature~, but the specific combination --- adaptive fallback, tested against EHR transaction semantics that distinguish routine from emergency access, ..."
Introduction,Motivating Scenario,roosan2025pqctelehealth,S,"A closely related mechanism has been evaluated for power-grid communications~, and hybrid QKD-PQC deployments for healthcare data exist in the literature~, but the specific combination --- adaptive fallback, tested against EHR transaction semantics that distinguish routine from emergency access, ..."
Introduction,Motivating Scenario,papadopoulos2026hybriddeployment,S,"A closely related mechanism has been evaluated for power-grid communications~, and hybrid QKD-PQC deployments for healthcare data exist in the literature~, but the specific combination --- adaptive fallback, tested against EHR transaction semantics that distinguish routine from emergency access, ..."
Background,"The Harvest-Now, Decrypt-Later Threat",shor1997factoring,S,"Public-key cryptography deployed today --- RSA, elliptic-curve Diffie-Hellman, and their relatives --- derives its security from computational problems (integer factorization, the discrete logarithm problem) that are believed intractable for classical computers but that a sufficiently large, faul..."
Background,"The Harvest-Now, Decrypt-Later Threat",mosca2018cybersecurity,S,"Mosca formalized the risk condition underlying this strategy as a simple inequality --- often called Mosca's theorem --- comparing the time data must remain confidential ($X$), the time required to migrate an entire system to quantum-safe cryptography ($Y$), and the time until a CRQC arrives ($Z$..."
Background,"The Harvest-Now, Decrypt-Later Threat",hndltimemodel2025,S,"A more formal, explicitly time-dependent HNDL threat and migration model built on this same reasoning has since been proposed~, and an IoT-specific refinement of Mosca's theorem highlights how a heterogeneous device population --- some fielded far longer than others --- complicates the single-$Y$..."
Background,"The Harvest-Now, Decrypt-Later Threat",moscarefinediot2022,S,"A more formal, explicitly time-dependent HNDL threat and migration model built on this same reasoning has since been proposed~, and an IoT-specific refinement of Mosca's theorem highlights how a heterogeneous device population --- some fielded far longer than others --- complicates the single-$Y$..."
Background,"The Harvest-Now, Decrypt-Later Threat",gri2025timelinereport,S,"Expert-survey-based CRQC timeline estimates are updated periodically; the Global Risk Institute's most recent annual survey of quantum-computing experts continues to report a non-trivial probability of a CRQC materializing within the next one to two decades~, broadly consistent with independent q..."
Background,"The Harvest-Now, Decrypt-Later Threat",forecastingqctimelines2020,S,"Expert-survey-based CRQC timeline estimates are updated periodically; the Global Risk Institute's most recent annual survey of quantum-computing experts continues to report a non-trivial probability of a CRQC materializing within the next one to two decades~, broadly consistent with independent q..."
Background,Post-Quantum Cryptography,bos2018kyber,S,"The NIST post-quantum cryptography standardization process selected ML-KEM (based on the Module Learning-With-Errors problem over a structured lattice, originally submitted as CRYSTALS-Kyber~) as its primary key-encapsulation mechanism, standardized as FIPS 203~, and ML-DSA (based on the related ..."
Background,Post-Quantum Cryptography,nist2024fips203,STD,"The NIST post-quantum cryptography standardization process selected ML-KEM (based on the Module Learning-With-Errors problem over a structured lattice, originally submitted as CRYSTALS-Kyber~) as its primary key-encapsulation mechanism, standardized as FIPS 203~, and ML-DSA (based on the related ..."
Background,Post-Quantum Cryptography,ducas2018dilithium,S,"The NIST post-quantum cryptography standardization process selected ML-KEM (based on the Module Learning-With-Errors problem over a structured lattice, originally submitted as CRYSTALS-Kyber~) as its primary key-encapsulation mechanism, standardized as FIPS 203~, and ML-DSA (based on the related ..."
Background,Post-Quantum Cryptography,nist2024fips204,STD,"The NIST post-quantum cryptography standardization process selected ML-KEM (based on the Module Learning-With-Errors problem over a structured lattice, originally submitted as CRYSTALS-Kyber~) as its primary key-encapsulation mechanism, standardized as FIPS 203~, and ML-DSA (based on the related ..."
Background,Post-Quantum Cryptography,fouque2020falcon,S,"NIST selected two further signature schemes alongside ML-DSA for standardization diversity: FALCON, a compact NTRU-lattice-based scheme trading smaller signatures for a more complex, floating-point-dependent signing procedure~; and SPHINCS+, a conservative hash-based scheme whose security rests o..."
Background,Post-Quantum Cryptography,bernstein2019sphincsplus,S,"NIST selected two further signature schemes alongside ML-DSA for standardization diversity: FALCON, a compact NTRU-lattice-based scheme trading smaller signatures for a more complex, floating-point-dependent signing procedure~; and SPHINCS+, a conservative hash-based scheme whose security rests o..."
Background,Post-Quantum Cryptography,aguilarmelchor2018hqc,S,"Beyond the lattice family, NIST's fourth standardization round selected HQC, a code-based KEM built on the syndrome-decoding problem~, as an algorithmically independent fallback in case a future cryptanalytic advance were to compromise lattice-based assumptions specifically; BIKE, a related code-..."
Background,Post-Quantum Cryptography,bikesuite2024spec,S,"Beyond the lattice family, NIST's fourth standardization round selected HQC, a code-based KEM built on the syndrome-decoding problem~, as an algorithmically independent fallback in case a future cryptanalytic advance were to compromise lattice-based assumptions specifically; BIKE, a related code-..."
Background,Post-Quantum Cryptography,nist2025pqcround4status,S,"Beyond the lattice family, NIST's fourth standardization round selected HQC, a code-based KEM built on the syndrome-decoding problem~, as an algorithmically independent fallback in case a future cryptanalytic advance were to compromise lattice-based assumptions specifically; BIKE, a related code-..."
Background,Quantum Key Distribution,bennett1984bb84,S,"The foundational protocol realizing this idea, BB84, was introduced by Bennett and Brassard in 1984~; subsequent protocol variants have targeted specific practical weaknesses rather than replacing the core idea --- decoy-state methods close a side-channel arising from real, non-single-photon lase..."
Background,Quantum Key Distribution,lo2005decoystate,S,"The foundational protocol realizing this idea, BB84, was introduced by Bennett and Brassard in 1984~; subsequent protocol variants have targeted specific practical weaknesses rather than replacing the core idea --- decoy-state methods close a side-channel arising from real, non-single-photon lase..."
Background,Quantum Key Distribution,mdi2025asymmetric,S,"The foundational protocol realizing this idea, BB84, was introduced by Bennett and Brassard in 1984~; subsequent protocol variants have targeted specific practical weaknesses rather than replacing the core idea --- decoy-state methods close a side-channel arising from real, non-single-photon lase..."
Background,Quantum Key Distribution,mdi2025freqcomb,S,"The foundational protocol realizing this idea, BB84, was introduced by Bennett and Brassard in 1984~; subsequent protocol variants have targeted specific practical weaknesses rather than replacing the core idea --- decoy-state methods close a side-channel arising from real, non-single-photon lase..."
